NAME_ENGL,name,val,x,y
Brunei,Goal,32.37908496732025,6,3
Brunei,Goal,32.37908496732025,7,3
Brunei,Goal,32.37908496732025,8,3
Brunei,Goal,32.37908496732025,9,3
Brunei,Goal,32.8235294117647,10,3
Brunei,Goal,32.37908496732025,11,3
Brunei,Goal,32.37908496732025,12,3
Brunei,Goal,32.37908496732025,13,3
Brunei,Goal,32.8235294117647,14,3
Brunei,Goal,23.8235294117647,15,3
Bulgaria,Goal,21.8235294117647,1,3
Bulgaria,Goal,35.0735294117647,2,3
Bulgaria,Goal,35.0735294117647,3,3
Bulgaria,Goal,30.15686274509804,4,3
Bulgaria,Goal,35.0735294117647,5,3
Bulgaria,Goal,23.323529411764703,6,3
Bulgaria,Goal,21.8235294117647,7,3
Bulgaria,Goal,34.3235294117647,8,3
Bulgaria,Goal,34.3235294117647,9,3
Bulgaria,Goal,30.15686274509804,10,3
Bulgaria,Goal,30.15686274509804,11,3
Bulgaria,Goal,35.0735294117647,12,3
Bulgaria,Goal,23.323529411764703,13,3
Bulgaria,Goal,23.323529411764703,14,3
Bulgaria,Goal,23.323529411764703,15,3
Burkina Faso,Goal,25.15686274509803,1,3
Burkina Faso,Goal,32.99019607843137,2,3
Burkina Faso,Goal,24.0735294117647,3,3
Burkina Faso,Goal,32.99019607843137,4,3
Burkina Faso,Goal,25.15686274509803,5,3
Burkina Faso,Goal,24.0735294117647,6,3
Burkina Faso,Goal,32.99019607843137,7,3
Burkina Faso,Goal,24.8235294117647,8,3
Burkina Faso,Goal,25.15686274509803,9,3
Burkina Faso,Goal,32.99019607843137,10,3
Burkina Faso,Goal,24.0735294117647,11,3
Burkina Faso,Goal,32.99019607843137,12,3
Burkina Faso,Goal,24.8235294117647,13,3
Burkina Faso,Goal,24.0735294117647,14,3
Burkina Faso,Goal,32.99019607843137,15,3
Burundi,Goal,21.8235294117647,1,3
Burundi,Goal,30.15686274509804,2,3
Burundi,Goal,19.223529411764698,3,3
Burundi,Goal,30.15686274509804,4,3
Burundi,Goal,19.223529411764698,5,3
Burundi,Goal,19.223529411764698,6,3
Burundi,Goal,21.8235294117647,7,3
Burundi,Goal,19.223529411764698,8,3
Burundi,Goal,33.8235294117647,9,3
Burundi,Goal,21.8235294117647,10,3
Burundi,Goal,21.8235294117647,11,3
Burundi,Goal,30.15686274509804,12,3
Burundi,Goal,21.8235294117647,13,3
Burundi,Goal,21.8235294117647,14,3
Burundi,Goal,19.223529411764698,15,3
Cameroon,Goal,33.8235294117647,1,3
Cameroon,Goal,29.156862745098035,2,3
Cameroon,Goal,29.156862745098035,3,3
Cameroon,Goal,34.0735294117647,4,3
Cameroon,Goal,34.0735294117647,5,3
Cameroon,Goal,29.8235294117647,6,3
Cameroon,Goal,29.156862745098035,7,3
Cameroon,Goal,33.8235294117647,8,3
Cameroon,Goal,29.8235294117647,9,3
Cameroon,Goal,33.8235294117647,10,3
Cameroon,Goal,34.0735294117647,11,3
Cameroon,Goal,33.8235294117647,12,3
Cameroon,Goal,33.8235294117647,13,3
Cameroon,Goal,34.0735294117647,14,3
Cameroon,Goal,29.8235294117647,15,3
Cape Verde,Goal,27.156862745098035,1,3
Cape Verde,Goal,26.823529411764703,2,3
Cape Verde,Goal,26.823529411764703,3,3
Cape Verde,Goal,26.823529411764703,4,3
Cape Verde,Goal,62.82352941176471,5,3
Cape Verde,Goal,27.156862745098035,6,3
Cape Verde,Goal,26.8235294117647,7,3
Cape Verde,Goal,27.156862745098035,8,3
Cape Verde,Goal,26.823529411764703,9,3
Cape Verde,Goal,27.156862745098035,10,3
Cape Verde,Goal,27.156862745098035,11,3
Cape Verde,Goal,27.156862745098035,12,3
Cape Verde,Goal,26.8235294117647,13,3
Cape Verde,Goal,26.8235294117647,14,3
Cape Verde,Goal,26.8235294117647,15,3
China,Goal,34.15686274509804,1,3
China,Goal,35.5735294117647,2,3
China,Goal,28.156862745098035,3,3
China,Goal,30.8235294117647,4,3
China,Goal,26.323529411764703,5,3
China,Goal,35.5735294117647,6,3
China,Goal,30.8235294117647,7,3
China,Goal,30.8235294117647,8,3
China,Goal,28.156862745098035,9,3
China,Goal,28.156862745098035,10,3
China,Goal,35.5735294117647,11,3
China,Goal,26.323529411764703,12,3
China,Goal,34.15686274509804,13,3
China,Goal,35.5735294117647,14,3
China,Goal,34.15686274509804,15,3
Christmas Island,Goal,30.3235294117647,1,3
Christmas Island,Goal,30.3235294117647,2,3
Christmas Island,Goal,32.8235294117647,3,3
Christmas Island,Goal,25.423529411764704,4,3
Christmas Island,Goal,25.423529411764704,5,3
Christmas Island,Goal,25.423529411764704,6,3
Christmas Island,Goal,32.8235294117647,7,3
Christmas Island,Goal,25.423529411764704,8,3
Christmas Island,Goal,34.3235294117647,9,3
Christmas Island,Goal,28.490196078431367,10,3
Christmas Island,Goal,25.423529411764704,11,3
Christmas Island,Goal,32.8235294117647,12,3
Christmas Island,Goal,34.3235294117647,13,3
Christmas Island,Goal,28.490196078431367,14,3
Christmas Island,Goal,28.490196078431367,15,3
